institucion,fuente,municipio,departamento,sector,latitud,longitud,precision_ubicacion,n_estudiantes,promedio_global,institucion_fuente,n_analisis,promedio_analisis
I.E. Gabriel Correa Velez,Semestre Cero,Caracolí,Antioquia,Oficial,6.4864,-74.76,aproximada,26,221.9230769,I. E. GABRIEL CORREA VELEZ,26,221.92
I.E. Guarumo,Semestre Cero,Cáceres,Antioquia,Oficial,7.5758,-75.3486,aproximada,57,161.5438596,I. E. GUARUMO,57,161.54
I.E. Jesus Maria Rojas Pagola,Semestre Cero,Santa Bárbara,Antioquia,Oficial,5.879,-75.5833,aproximada,51,164.3137255,I. E. JESUS MARIA ROJAS PAGOLA,51,164.31
I.E. Jose Manuel Restrepo,Semestre Cero,Arboletes,Antioquia,Oficial,8.8508,-76.4267,aproximada,54,166.2222222,I. E. JOSE MANUEL RESTREPO,54,166.22
I.E. Jose Maria Muñoz Florez,Semestre Cero,Carepa,Antioquia,Oficial,7.7578,-76.6547,aproximada,44,199.0909091,I. E. JOSE MARIA MUÑOZ FLOREZ,44,199.09
I.E. Jose Maria Villa,Semestre Cero,Sopetrán,Antioquia,Oficial,6.5008,-75.7428,aproximada,36,187.2222222,I. E. JOSE MARIA VILLA,36,187.22
I.E. Juan de Dios Uribe,Semestre Cero,Andes,Antioquia,Oficial,5.605,-75.9413,aproximada,21,162.4285714,I. E. JUAN DE DIOS URIBE,21,162.43
I.E. Juan Evangelista Berrio,Semestre Cero,Chigorodó,Antioquia,Oficial,7.6672,-76.6811,aproximada,30,165.0,I. E. JUAN EVANGELISTA BERRIO,30,165.0
I.E. Juan Pablo Gomez Ochoa,Semestre Cero,Caramanta,Antioquia,Oficial,5.5469,-75.6425,aproximada,26,172.7692308,I. E. JUAN PABLO GOMEZ OCHOA,26,172.77
I.E. la Esmeralda,Semestre Cero,El Bagre,Antioquia,Oficial,7.6017,-74.8083,aproximada,40,150.9,I. E. LA ESMERALDA,40,150.9
I.E. la Pintada,Semestre Cero,La Pintada,Antioquia,Oficial,5.7461,-75.6069,aproximada,36,173.5277778,I. E. LA PINTADA,36,173.53
I.E. las Delicias,Semestre Cero,El Bagre,Antioquia,Oficial,7.6017,-74.8083,aproximada,34,153.5588235,I. E. LAS DELICIAS,34,153.56
I.E. las Mercedes,Semestre Cero,Frontino,Antioquia,Oficial,6.7806,-76.1308,aproximada,20,172.0,I. E. LAS MERCEDES,20,172.0
I.E. Leon Xiii,Semestre Cero,El Peñol,Antioquia,Oficial,6.2186,-75.2417,aproximada,32,179.78125,I. E. LEON XIII,32,179.78
I.E. Liborio Bataller,Semestre Cero,Segovia,Antioquia,Oficial,7.0786,-74.6983,aproximada,23,181.5652174,I. E. LIBORIO BATALLER,23,181.57
I.E. Llano de Cordoba,Semestre Cero,Remedios,Antioquia,Oficial,7.0269,-74.6975,aproximada,27,189.962963,I. E. LLANO DE CORDOBA,27,189.96
I.E. Llanos de Cuiva,Semestre Cero,Yarumal,Antioquia,Oficial,6.9633,-75.4169,aproximada,30,186.6,I. E. LLANOS DE CUIVA,30,186.6
I.E. Lorenzo Yali,Semestre Cero,Yalí,Antioquia,Oficial,6.6769,-74.8436,aproximada,20,198.85,I. E. LORENZO YALI,20,198.85
I.E. Luis Eduardo Diaz,Semestre Cero,Yondó,Antioquia,Oficial,7.005,-74.0083,aproximada,70,179.5142857,I. E. LUIS EDUARDO DIAZ,70,179.51
