institucion;fuente;municipio;departamento;sector;latitud;longitud;precision_ubicacion;n_estudiantes;promedio_global
I. E. R. JAIPERA;Semestre cero;Urrao;Antioquia;Oficial;6,315;-76,1336;aproximada;47;182,6808511
I. E. R. LA CRUZADA;Semestre cero;Remedios;Antioquia;Oficial;7,0269;-74,6975;aproximada;59;144,3389831
I. E. R. LA INMACULADA CAUCHERAS;Semestre cero;Mutata;Antioquia;Oficial;7,2433;-76,4361;aproximada;24;188,25
I. E. R. LA SIERRA;Semestre cero;Puerto Nare;Antioquia;Oficial;6,1883;-74,45847;aproximada;31;170,7419355
I. E. R. LA UNION;Semestre cero;Puerto Nare;Antioquia;Oficial;6,1883;-74,45847;aproximada;24;157
I. E. R. MARCO A ROJO;Semestre cero;Valdivia;Antioquia;Oficial;7,1811;-75,4419;aproximada;39;164,7435897
I. E. R. MELLITO;Semestre cero;Necocli;Antioquia;Oficial;8,4286;-76,7861;aproximada;43;144,9302326
I. E. R. PORCESITO;Semestre cero;Santo Domingo;Antioquia;Oficial;6,4719;-75,1669;aproximada;21;168,1428571
I. E. R. SAN FRANCISCO DE ASIS;Semestre cero;Jerico;Antioquia;Oficial;5,7925;-75,7869;aproximada;31;161,9354839
I. E. R. ZUNGO EMBARCADERO;Semestre cero;Carepa;Antioquia;Oficial;7,7578;-76,6547;aproximada;29;161,9655172
I. E. SAN ANDRES;Semestre cero;San Andres De Cuerquia;Antioquia;Oficial;6,9158;-75,6739;aproximada;21;212,3809524
I. E. SAN DIEGO;Semestre cero;Liborina;Antioquia;Oficial;6,6781;-75,8114;aproximada;34;172,4117647
I. E. SAN JOSE;Semestre cero;Angelopolis;Antioquia;Oficial;6,1214;-75,7159;aproximada;96;167,1458333
I. E. SAN JUAN BOSCO;Semestre cero;Caicedo;Antioquia;Oficial;6,4086;-75,9828;aproximada;23;195,7391304
I. E. SAN JUAN DE URABA;Semestre cero;San Juan De Uraba;Antioquia;Oficial;8,7611;-76,5303;aproximada;85;179,7882353
I. E. SAN LUIS GONZAGA;Semestre cero;Santafe De Antioquia;Antioquia;Oficial;6,5569;-75,8281;aproximada;39;212,3333333
I. E. SAN PEDRO DE URABA;Semestre cero;San Pedro De Uraba;Antioquia;Oficial;8,275;-76,369;aproximada;22;170,5454545
I. E. SANTA TERESA;Semestre cero;Argelia;Antioquia;Oficial;5,7319;-75,1431;aproximada;40;203,55
I. E. SANTO DOMINGO;Semestre cero;Caucasia;Antioquia;Oficial;7,9869;-75,1972;aproximada;31;146,3870968
I. E. URBANA SAN JOSE;Semestre cero;Ebejico;Antioquia;Oficial;6,3267;-75,7686;aproximada;36;214,1111111
I. E. VIGIA DEL FUERTE;Semestre cero;Vigia Del Fuerte;Antioquia;Oficial;6,5861;-76,8864;aproximada;34;140,8235294
I.E. MUNICIPAL JOSE DE LOS SANTOS ZUÑIGA;Semestre cero;Chigorodo;Antioquia;Oficial;7,6672;-76,6811;aproximada;47;174,9574468
I.E. PBRO. RICARDO LUIS GUTIERREZ TOBON;Semestre cero;Belmira;Antioquia;Oficial;6,6047;-75,6664;aproximada;28;187
I.E.R. HOJAS ANCHAS;Semestre cero;Guarne;Antioquia;Oficial;6,28;-75,4428;aproximada;33;171,7272727
PALMIRA;Semestre cero;El Peñol;Antioquia;Oficial;6,2186;-75,2417;aproximada;23;164,9130435
